Team8;Country;Link GitHub;;
AirSaft;Romania;https://github.com/asalos22222/WRO-FUTURE-ENGINEERS-2024;;
ENGINEER INSIDE;Türkiye;;;
Falafel Tech;Palestine;https://github.com/FalafelTech-team/WRO-Future-Engineers;;
FlawFactory;Switzerland;https://github.com/robofactory-ch/flawfactory-future-engineers-brescia;;
Kandó Konstruktorok;Hungary;https://github.com/Kristof30045/WRO;;
NERDVANA PEGASUS;Romania;https://github.com/RaduSefuLaGithub/Nerdvana_Pegasus_2024_FutureEngineers;;
Smart Riders;Germany;https://github.com/64qyt6za/GSGSmartiecar;;
TEAM VIOLET;Venezuela;https://github.com/reiruso07/WRO2024_Future_Engineers-Team-Violet;;
